WT sseJ sseL slrP ssaV_new srfJ steC sspH2 sseI steB spvD_new sseG sseF sifB pipB2 steA sifA gtgE steE spvB gogB sseK1 gtgA sopD2 pipB
482 0 12 18 40 0 11 42 0 7 23 0 55 0 0 6 0 0 0 0 2 9 0 37 0 0
492 0 10 5 44 3 7 41 0 8 26 0 95 0 0 5 0 0 0 0 2 4 0 36 0 0
502 0 11 3 25 0 8 38 0 4 21 0 48 0 0 7 0 0 0 0 3 1 0 23 0 0
513 0 8 8 44 0 10 33 0 1 16 0 57 0 0 6 0 0 0 0 2 3 0 41 0 0
522 0 145 4 27 0 6 42 0 3 20 0 44 0 0 5 0 0 0 0 1 5 0 32 0 0
532 0 16 10 48 0 10 72 0 5 50 0 67 0 0 9 0 0 0 0 0 3 0 87 0 0
542 0 8 4 18 0 4 26 0 3 15 0 36 0 0 2 0 0 0 0 0 5 0 22 0 0
552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
562 0 6 10 33 0 9 45 0 10 24 0 58 0 0 5 0 0 0 0 0 7 0 34 0 0
572 0 2 3 10 0 3 23 0 4 10 0 26 0 0 4 0 0 0 0 7404 5 0 19 0 0
582 0 6 5 15 0 2 27 0 5 12 0 26 0 0 1 0 0 0 1 1 1 0 28 0 0
592 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
602 0 9 4 22 0 4 63 0 7 10 0 38 0 0 4 0 0 0 0 2 3 0 37 0 0
613 0 4 6 20 0 6088 24 0 3 10 0 26 0 0 4 0 0 0 0 1 3 0 25 0 0
622 0 9 5 39 0 10 59 0 2 16 0 184 0 0 3 0 0 0 0 0 4 0 33173 0 1
632 0 15 5 31 0 9 28 0 9 14 0 31 0 0 1 0 0 0 0 0 4 0 38 0 0
642 0 4 3 23 0 4 26 0 4 15 0 39 0 0 3 0 0 0 0 0 0 0 34 0 0
652 0 7 6 23 0 3 35 0 5 16 0 38 0 0 6 0 0 0 0 1 8 0 39 0 0
662 1 4 10 25 0 3 29 0 10 12 0 44 207 0 3 0 0 0 0 0 6 0 27 0 0
